#,B200_Module,B200_Operator,B200_Raw_Kernel,B200_Stream,B200_Avg_us,B200_Overlap_us,B200_Overlap_With,MI355X_module,MI355X_kernel,MI355X_avg_us,Notes
10,Attention,q_b_proj_GEMM #2,nvjet_tst_16x64_64x16_4x1_v_bz_TNN,27,3.9,0.4,Attention(FMHA)(cross):0.4μs,(v_up_proj_and_o_proj),batched_gemm_a8w8,7.04,"B200: UV expansion; MI355X: V_up batched GEMM"
11,Proj,o_proj_quant(BF16→FP4),cvt_fp16_to_fp4,27,1.9,0,,,,,"B200 only: FP4 quantization before o_proj"
12,Proj,o_proj_GEMM,DeviceGemmFp4GemmSm100,27,6.6,0.1,EP_AR#2(cross):0.2μs,(v_up_proj_and_o_proj),bf16gemm_splitk_clean,11.78,"B200: FP4 GEMM; MI355X: BF16 GEMM"
13,EP_AR,EP_AR+residual+RMSNorm(fused) #2,allreduce_fusion_kernel_oneshot_lamport,27_overlap,8.8,7.4,router_gemm(cross):7.2μs | o_proj_GEMM(cross):0.2μs,(post_attn_layernorm),reduce_scatter_cross_device_store,10.20,"B200 fuses AR+residual+RMSNorm; MI355X splits"
,,,,,,,,(post_attn_layernorm),local_device_load_rmsnorm,5.73,MI355X cont.: RMSNorm after device load
14,Other,other:router_gemm,router_gemm_kernel_float_output,470,10.4,10.2,EP_AR#2(cross):7.2μs | o_proj_quant#2(cross):2.5μs | o_proj_GEMM(cross):0.4μs,(triton_poi),triton_fused_clone,5.91,B200: router GEMM parallel with EP_AR; MI355X: data reshape
,,,,,,,,(triton_poi),triton_fused_clone,5.64,MI355X cont.: second clone
15,Proj,o_proj_quant(BF16→FP4) #2,cvt_fp16_to_fp4,27,2.5,2.7,router_gemm(cross):2.5μs | o_proj_GEMM(cross):0.3μs,,,,"B200 only: FP4 quant overlaps with router"
16,Proj,o_proj_GEMM #2,DeviceGemmFp4GemmSm100,27_overlap,9.3,12.1,MoE_input_quant(cross):4.5μs | TopK(cross):4.0μs | sort(cross):2.9μs | router(cross):0.4μs | quant#2(cross):0.3μs,(gemm_a16w16),bf16gemm_splitk_clean,8.79,"B200: FP4 GEMM massive overlap; MI355X: router GEMM"
17,MoE_Route,MoE_input_quant(BF16→FP4),quantize_with_block_size,470,4.5,5.0,o_proj_GEMM#2(cross):4.5μs | TopK(cross):0.4μs,,,,"B200 only: FP4 quant for MoE input"
18,MoE_Route,TopK_select,routingMainKernel,470_overlap,4.2,6.8,o_proj_GEMM#2(cross):4.0μs | sort(cross):2.3μs | quant(cross):0.4μs,(mxfp4_moe),grouped_topk_opt_sort,5.77,
19,MoE_Route,expert_sort,routingIndicesClusterKernel,470,4.7,6.5,o_proj_GEMM#2(cross):2.9μs | TopK(cross):2.3μs | SiLU(cross):1.4μs,(mxfp4_moe),MoeSortingKernel,10.97,MI355X sorting is 2.3x slower
20,Shared_Exp,SiLU×Mul,act_and_mul_kernel,27,2.5,2.5,gate_up_GEMM(cross):2.2μs | sort(cross):1.4μs,(mxfp4_moe),fused_mxfp4_quant_sort,5.80,"B200: shared exp SiLU; MI355X: MoE quant+sort before gate_up"
21,MoE_Expert,gate_up_GEMM(+SwiGLU),bmm_E2m1_E2m1E2m1,470_overlap,11.6,5.2,shared_GEMM(cross):2.6μs | SiLU(cross):2.2μs | shared_quant(cross):1.9μs | down(cross):0.3μs,(mxfp4_moe),moe_mxgemm (gate_up),24.52,"B200: batched MoE GEMM; MI355X: CK moe_mxgemm 2.1x slower"
22,Shared_Exp,shared_quant(BF16→FP4),cvt_fp16_to_fp4,27,1.9,2.0,gate_up_GEMM(cross):1.9μs,(mxfp4_moe),fused_mxfp4_quant_sort,5.65,"MI355X: quant between gate_up and down"
23,Shared_Exp,shared_GEMM(FP4),DeviceGemmFp4GemmSm100,27,5.8,5.3,down_GEMM(cross):3.6μs | gate_up_GEMM(cross):2.6μs,(mxfp4_moe),moe_mxgemm (down),10.44,"B200: FP4 shared exp; MI355X: MoE down GEMM 1.8x slower"
24,MoE_Expert,down_GEMM,bmm_Bfloat16_E2m1E2m1,470,9.9,3.7,shared_GEMM(cross):3.6μs | MoE_finalize(cross):0.4μs | gate_up(cross):0.3μs,,,,"MI355X down included in row 23 moe_mxgemm"
25,Other,MoE_finalize,finalizeKernel,470_overlap,2.9,1.0,down_GEMM(cross):0.4μs,,,,"B200 only: MoE output finalization"
26,Residual,residual_add,vectorized_elementwise_kernel,27,1.7,0,,,,,"B200 only: explicit residual add"

,,B200 TOTAL (kernel_sum),,,183.1,,,,MI355X TOTAL,201.8,
,,B200 Walltime,,,122.1,,,,MI355X Walltime (avg bs=4 from CSV),12380,us (12.38ms)
,,B200 Overlap,,,61.0,,,,,,"61μs overlap = 33.3% of kernel sum"

,,PASS,,B200_us,MI355X_us,B200/MI355X,,Notes,,
,,EP_AR (pre-MHA),,26.7,19.68,1.36x,,B200: fused allreduce. MI355X: reduce_scatter+load_rmsnorm (13.98+5.70)
,,MHA,,37.7,59.80,0.63x,,MI355X: includes add_rmsnorm_quant ×2 (11.29) + qkv (15.08) + rope (5.70) + mla (17.31) + batched_gemm (7.04) + triton_poi (3.38)
,,O_proj,,20.3,11.78,1.72x,,B200: quant+GEMM×2. MI355X: single bf16gemm
,,EP_AR (pre-MOE),,8.8,21.57,0.41x,,MI355X: post_attn (15.93) + triton_fused_clone (5.64)
,,MOE,,89.6,89.00,1.01x,,B200: route+shared+expert. MI355X: grouped_topk+sorting+quant+moe_mxgemm×2
